"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_parse_price[  US $24.99  -24.99]","tests","Mon Jun 29 09:16:15 IDT 2026","passed","Mon Jun 29 09:16:15 IDT 2026","","test_price_parser","",""
"","0","test_parse_price_raises_on_invalid[   ]","tests","Mon Jun 29 09:16:15 IDT 2026","passed","Mon Jun 29 09:16:15 IDT 2026","","test_price_parser","",""
"","0","test_parse_price_raises_on_invalid[free]","tests","Mon Jun 29 09:16:15 IDT 2026","passed","Mon Jun 29 09:16:15 IDT 2026","","test_price_parser","",""
"","49568","test_cart_total_within_budget[shoes_under_220]","tests","Mon Jun 29 09:14:47 IDT 2026","passed","Mon Jun 29 09:15:37 IDT 2026","","test_cart_flow","",""
"","0","test_parse_price[$24.99-24.99]","tests","Mon Jun 29 09:16:15 IDT 2026","passed","Mon Jun 29 09:16:15 IDT 2026","","test_price_parser","",""
"","0","test_parse_price_raises_on_invalid[]","tests","Mon Jun 29 09:16:15 IDT 2026","passed","Mon Jun 29 09:16:15 IDT 2026","","test_price_parser","",""
"","0","test_parse_price[US $24.99-24.99]","tests","Mon Jun 29 09:16:15 IDT 2026","passed","Mon Jun 29 09:16:15 IDT 2026","","test_price_parser","",""
"","1","test_parse_price[$12.00 to $18.00-12.0]","tests","Mon Jun 29 09:16:15 IDT 2026","passed","Mon Jun 29 09:16:15 IDT 2026","","test_price_parser","",""
"","0","test_parse_price[EUR 9.50-9.5]","tests","Mon Jun 29 09:16:15 IDT 2026","passed","Mon Jun 29 09:16:15 IDT 2026","","test_price_parser","",""
"","0","test_parse_price[ILS 11.87-11.87]","tests","Mon Jun 29 09:16:15 IDT 2026","passed","Mon Jun 29 09:16:15 IDT 2026","","test_price_parser","",""
"","33234","test_cart_total_within_budget[headphones_under_50]","tests","Mon Jun 29 09:15:39 IDT 2026","passed","Mon Jun 29 09:16:13 IDT 2026","","test_cart_flow","",""
"","0","test_parse_price[$1,299.00-1299.0]","tests","Mon Jun 29 09:16:15 IDT 2026","passed","Mon Jun 29 09:16:15 IDT 2026","","test_price_parser","",""
"","1","test_parse_price_raises_on_invalid[N/A]","tests","Mon Jun 29 09:16:15 IDT 2026","passed","Mon Jun 29 09:16:15 IDT 2026","","test_price_parser","",""
